p2;A
0.001;1.07092
0.00101859;1.07047
0.00103753;1.07002
0.00105682;1.06957
0.00107647;1.06913
0.00109648;1.06869
0.00111686;1.06825
0.00113763;1.06782
0.00115878;1.0674
0.00118032;1.06697
0.00120226;1.06655
0.00122462;1.06614
0.00124738;1.06573
0.00127057;1.06532
0.0012942;1.06492
0.00131826;1.06452
0.00134276;1.06412
0.00136773;1.06373
0.00139316;1.06334
0.00141906;1.06295
0.00144544;1.06257
0.00147231;1.06219
0.00149968;1.06182
0.00152757;1.06144
0.00155597;1.06108
0.00158489;1.06071
0.00161436;1.06035
0.00164437;1.05999
0.00167494;1.05964
0.00170608;1.05928
0.0017378;1.05894
0.00177011;1.05859
0.00180302;1.05825
0.00183654;1.05791
0.00187068;1.05757
0.00190546;1.05724
0.00194089;1.05691
0.00197697;1.05658
0.00201372;1.05626
0.00205116;1.05594
0.0020893;1.05562
0.00212814;1.05531
0.0021677;1.055
0.002208;1.05469
0.00224905;1.05438
0.00229087;1.05408
0.00233346;1.05378
0.00237684;1.05348
0.00242103;1.05318
0.00246604;1.05289
0.00251189;1.0526
0.00255859;1.05231
0.00260615;1.05203
0.00265461;1.05175
0.00270396;1.05147
0.00275423;1.05119
0.00280543;1.05092
0.00285759;1.05064
0.00291072;1.05037
0.00296483;1.05011
0.00301995;1.04984
0.0030761;1.04958
0.00313329;1.04932
0.00319154;1.04907
0.00325087;1.04881
0.00331131;1.04856
0.00337287;1.04831
0.00343558;1.04806
0.00349945;1.04781
0.00356451;1.04757
0.00363078;1.04733
0.00369828;1.04709
0.00376704;1.04685
0.00383707;1.04662
0.00390841;1.04639
0.00398107;1.04616
0.00405509;1.04593
0.00413048;1.0457
0.00420727;1.04548
0.00428549;1.04526
0.00436516;1.04504
0.00444631;1.04482
0.00452898;1.0446
0.00461318;1.04439
0.00469894;1.04418
0.0047863;1.04397
0.00487528;1.04376
0.00496592;1.04355
0.00505825;1.04335
0.00515229;1.04315
0.00524807;1.04295
0.00534564;1.04275
0.00544503;1.04255
0.00554626;1.04236
0.00564937;1.04216
0.0057544;1.04197
0.00586138;1.04178
0.00597035;1.04159
0.00608135;1.04141
0.00619441;1.04122
0.00630957;1.04104
0.00642688;1.04086
0.00654636;1.04068
0.00666807;1.0405
0.00679204;1.04033
0.00691831;1.04015
0.00704693;1.03998
0.00717794;1.03981
0.00731139;1.03964
0.00744732;1.03947
0.00758578;1.0393
0.00772681;1.03914
0.00787046;1.03897
0.00801678;1.03881
0.00816582;1.03865
0.00831764;1.03849
0.00847227;1.03833
0.00862979;1.03818
0.00879023;1.03802
0.00895365;1.03787
0.00912011;1.03772
0.00928966;1.03757
0.00946237;1.03742
0.00963829;1.03727
0.00981748;1.03712
0.01;1.03698
0.0101859;1.03683
0.0103753;1.03669
0.0105682;1.03655
0.0107647;1.03641
0.0109648;1.03627
0.0111686;1.03613
0.0113763;1.036
0.0115878;1.03586
0.0118032;1.03573
0.0120226;1.03559
0.0122462;1.03546
0.0124738;1.03533
0.0127057;1.0352
0.012942;1.03508
0.0131826;1.03495
0.0134276;1.03482
0.0136773;1.0347
0.0139316;1.03458
0.0141906;1.03445
0.0144544;1.03433
0.0147231;1.03421
0.0149968;1.03409
0.0152757;1.03398
0.0155597;1.03386
0.0158489;1.03375
0.0161436;1.03363
0.0164437;1.03352
0.0167494;1.0334
0.0170608;1.03329
0.017378;1.03318
0.0177011;1.03307
0.0180302;1.03297
0.0183654;1.03286
0.0187068;1.03275
0.0190546;1.03265
0.0194089;1.03254
0.0197697;1.03244
0.0201372;1.03234
0.0205116;1.03223
0.020893;1.03213
0.0212814;1.03203
0.021677;1.03193
0.02208;1.03184
0.0224905;1.03174
0.0229087;1.03164
0.0233346;1.03155
0.0237684;1.03145
0.0242103;1.03136
0.0246604;1.03127
0.0251189;1.03117
0.0255859;1.03108
0.0260615;1.03099
0.0265461;1.0309
0.0270396;1.03081
0.0275423;1.03073
0.0280543;1.03064
0.0285759;1.03055
0.0291072;1.03047
0.0296483;1.03038
0.0301995;1.0303
0.030761;1.03022
0.0313329;1.03013
0.0319154;1.03005
0.0325087;1.02997
0.0331131;1.02989
0.0337287;1.02981
0.0343558;1.02973
0.0349945;1.02965
0.0356451;1.02957
0.0363078;1.0295
0.0369828;1.02942
0.0376704;1.02935
0.0383707;1.02927
0.0390841;1.0292
0.0398107;1.02912
0.0405509;1.02905
0.0413048;1.02898
0.0420727;1.02891
0.0428549;1.02884
0.0436516;1.02877
0.0444631;1.0287
0.0452898;1.02863
0.0461318;1.02856
0.0469894;1.02849
0.047863;1.02842
0.0487528;1.02836
0.0496592;1.02829
0.0505825;1.02822
0.0515229;1.02816
0.0524807;1.02809
0.0534564;1.02803
0.0544503;1.02797
0.0554626;1.0279
0.0564937;1.02784
0.057544;1.02778
0.0586138;1.02772
0.0597035;1.02766
0.0608135;1.0276
0.0619441;1.02754
0.0630957;1.02748
0.0642688;1.02742
0.0654636;1.02736
0.0666807;1.0273
0.0679204;1.02724
0.0691831;1.02719
0.0704693;1.02713
0.0717794;1.02708
0.0731139;1.02702
0.0744732;1.02696
0.0758578;1.02691
0.0772681;1.02686
0.0787046;1.0268
0.0801678;1.02675
0.0816582;1.0267
0.0831764;1.02664
0.0847227;1.02659
0.0862979;1.02654
0.0879023;1.02649
0.0895365;1.02644
0.0912011;1.02639
0.0928966;1.02634
0.0946237;1.02629
0.0963829;1.02624
0.0981748;1.02619
0.1;1.02614
0.101859;1.02609
0.103753;1.02604
0.105682;1.026
0.107647;1.02595
0.109648;1.0259
0.111686;1.02585
0.113763;1.02581
0.115878;1.02576
0.118032;1.02572
0.120226;1.02567
0.122462;1.02563
0.124738;1.02558
0.127057;1.02554
0.12942;1.02549
0.131826;1.02545
0.134276;1.02541
0.136773;1.02536
0.139316;1.02532
0.141906;1.02528
0.144544;1.02524
0.147231;1.02519
0.149968;1.02515
0.152757;1.02511
0.155597;1.02507
0.158489;1.02503
0.161436;1.02499
0.164437;1.02495
0.167494;1.02491
0.170608;1.02487
0.17378;1.02483
0.177011;1.02479
0.180302;1.02475
0.183654;1.02471
0.187068;1.02467
0.190546;1.02463
0.194089;1.02459
0.197697;1.02455
0.201372;1.02452
0.205116;1.02448
0.20893;1.02444
0.212814;1.0244
0.21677;1.02437
0.2208;1.02433
0.224905;1.02429
0.229087;1.02425
0.233346;1.02422
0.237684;1.02418
0.242103;1.02414
0.246604;1.02411
0.251189;1.02407
0.255859;1.02403
0.260615;1.024
0.265461;1.02396
0.270396;1.02393
0.275423;1.02389
0.280543;1.02386
0.285759;1.02382
0.291072;1.02378
0.296483;1.02375
0.301995;1.02371
0.30761;1.02368
0.313329;1.02364
0.319154;1.02361
0.325087;1.02357
0.331131;1.02354
0.337287;1.0235
0.343558;1.02346
0.349945;1.02343
0.356451;1.02339
0.363078;1.02336
0.369828;1.02332
0.376704;1.02329
0.383707;1.02325
0.390841;1.02322
0.398107;1.02318
0.405509;1.02315
0.413048;1.02311
0.420727;1.02308
0.428549;1.02304
0.436516;1.02301
0.444631;1.02297
0.452898;1.02294
0.461318;1.0229
0.469894;1.02287
0.47863;1.02283
0.487528;1.0228
0.496592;1.02276
0.505825;1.02273
0.515229;1.02269
0.524807;1.02265
0.534564;1.02262
0.544503;1.02258
0.554626;1.02255
0.564937;1.02251
0.57544;1.02247
0.586138;1.02244
0.597035;1.0224
0.608135;1.02236
0.619441;1.02233
0.630957;1.02229
0.642688;1.02225
0.654636;1.02221
0.666807;1.02218
0.679204;1.02214
0.691831;1.0221
0.704693;1.02206
0.717794;1.02202
0.731139;1.02198
0.744732;1.02194
0.758578;1.0219
0.772681;1.02186
0.787046;1.02182
0.801678;1.02178
0.816582;1.02174
0.831764;1.0217
0.847227;1.02166
0.862979;1.02162
0.879023;1.02158
0.895365;1.02153
0.912011;1.02149
0.928966;1.02145
0.946237;1.02141
0.963829;1.02136
0.981748;1.02132
1;1.02128
1.01859;1.02123
1.03753;1.02119
1.05682;1.02114
1.07647;1.02109
1.09648;1.02105
1.11686;1.021
1.13763;1.02095
1.15878;1.0209
1.18032;1.02086
1.20226;1.02081
1.22462;1.02076
1.24738;1.02071
1.27057;1.02066
1.2942;1.0206
1.31826;1.02055
1.34276;1.0205
1.36773;1.02045
1.39316;1.02039
1.41906;1.02034
1.44544;1.02029
1.47231;1.02023
1.49968;1.02018
1.52757;1.02012
1.55597;1.02006
1.58489;1.02001
1.61436;1.01995
1.64437;1.01989
1.67494;1.01983
1.70608;1.01977
1.7378;1.0197
1.77011;1.01964
1.80302;1.01958
1.83654;1.01951
1.87068;1.01945
1.90546;1.01938
1.94089;1.01932
1.97697;1.01925
2.01372;1.01918
2.05116;1.01911
2.0893;1.01904
2.12814;1.01897
2.1677;1.0189
2.208;1.01883
2.24905;1.01876
2.29087;1.01868
2.33346;1.01861
2.37684;1.01853
2.42103;1.01845
2.46604;1.01837
2.51189;1.01829
2.55859;1.01821
2.60615;1.01813
2.65461;1.01805
2.70396;1.01796
2.75423;1.01788
2.80543;1.01779
2.85759;1.0177
2.91072;1.01761
2.96483;1.01753
3.01995;1.01743
3.0761;1.01734
3.13329;1.01725
3.19154;1.01715
3.25087;1.01706
3.31131;1.01696
3.37287;1.01686
3.43558;1.01676
3.49945;1.01666
3.56451;1.01656
3.63078;1.01645
3.69828;1.01635
3.76704;1.01624
3.83707;1.01613
3.90841;1.01602
3.98107;1.01591
4.05509;1.0158
4.13048;1.01568
4.20727;1.01557
4.28549;1.01545
4.36516;1.01533
4.44631;1.01521
4.52898;1.01509
4.61318;1.01496
4.69894;1.01484
4.7863;1.01471
4.87528;1.01458
4.96592;1.01445
5.05825;1.01432
5.15229;1.01419
5.24807;1.01405
5.34564;1.01392
5.44503;1.01378
5.54626;1.01364
5.64937;1.01349
5.7544;1.01335
5.86138;1.0132
5.97035;1.01306
6.08135;1.01291
6.19441;1.01276
6.30957;1.0126
6.42688;1.01245
6.54636;1.01229
6.66807;1.01213
6.79204;1.01197
6.91831;1.01181
7.04693;1.01164
7.17794;1.01148
7.31139;1.01131
7.44732;1.01114
7.58578;1.01097
7.72681;1.01079
7.87046;1.01062
8.01678;1.01044
8.16582;1.01026
8.31764;1.01008
8.47227;1.00989
8.62979;1.00971
8.79023;1.00952
8.95365;1.00933
9.12011;1.00914
9.28966;1.00894
9.46237;1.00875
9.63829;1.00855
9.81748;1.00835
10.0925;1.00805
10.1859;1.00795
10.2802;1.00784
10.3753;1.00774
10.4713;1.00764
10.5682;1.00753
10.666;1.00743
10.7647;1.00732
10.8643;1.00722
10.9648;1.00711
11.0662;1.00701
11.1686;1.0069
11.272;1.00679
11.3763;1.00668
11.4815;1.00658
11.5878;1.00647
11.695;1.00636
11.8032;1.00625
11.9124;1.00614
12.0226;1.00603
12.1339;1.00592
12.2462;1.0058
12.3595;1.00569
12.4738;1.00558
12.5893;1.00547
12.7057;1.00535
12.8233;1.00524
12.942;1.00513
13.0617;1.00501
13.1826;1.0049
13.3045;1.00478
13.4276;1.00466
13.5519;1.00455
13.6773;1.00443
13.8038;1.00431
13.9316;1.00419
14.0605;1.00408
14.1906;1.00396
14.3219;1.00384
14.4544;1.00372
14.5881;1.0036
14.7231;1.00348
14.8594;1.00336
14.9968;1.00324
15.1356;1.00311
15.2757;1.00299
15.417;1.00287
15.5597;1.00275
15.7036;1.00262
15.8489;1.0025
15.9956;1.00238
16.1436;1.00225
16.293;1.00213
16.4437;1.002
16.5959;1.00188
16.7494;1.00175
16.9044;1.00163
17.0608;1.0015
17.2187;1.00137
17.378;1.00125
17.5388;1.00112
17.7011;1.00099
17.8649;1.00086
18.0302;1.00073
18.197;1.00061
18.3654;1.00048
18.5353;1.00035
18.7068;1.00022
18.8799;1.00009
19.0546;0.99996
19.2309;0.99983
19.4089;0.999699
19.5884;0.999569
19.7697;0.999438
19.9526;0.999307
20.1372;0.999176
20.3236;0.999045
20.5116;0.998914
20.7014;0.998782
20.893;0.998651
21.0863;0.998519
21.2814;0.998387
21.4783;0.998255
21.677;0.998123
21.8776;0.997991
22.08;0.997858
22.2844;0.997726
22.4905;0.997594
22.6986;0.997461
22.9087;0.997329
23.1206;0.997196
23.3346;0.997064
23.5505;0.996932
23.7684;0.996799
23.9883;0.996667
24.2103;0.996534
24.4343;0.996402
24.6604;0.99627
24.8886;0.996138
25.1189;0.996005
25.3513;0.995873
25.5859;0.995741
25.8226;0.99561
26.0615;0.995478
26.3027;0.995346
26.5461;0.995215
26.7917;0.995083
27.0396;0.994952
27.2898;0.994821
27.5423;0.99469
27.7971;0.994559
28.0543;0.994428
28.3139;0.994298
28.5759;0.994167
28.8403;0.994037
29.1072;0.993907
29.3765;0.993777
29.6483;0.993647
29.9226;0.993518
30.1995;0.993388
30.4789;0.993259
30.761;0.993129
31.0456;0.993
31.3329;0.992871
31.6228;0.992742
31.9154;0.992613
32.2107;0.992484
32.5087;0.992356
32.8095;0.992227
33.1131;0.992098
33.4195;0.991969
33.7287;0.991841
34.0408;0.991712
34.3558;0.991583
34.6737;0.991454
34.9945;0.991325
35.3183;0.991196
35.6451;0.991067
35.9749;0.990937
36.3078;0.990808
36.6438;0.990678
36.9828;0.990548
37.325;0.990418
37.6704;0.990287
38.0189;0.990156
38.3707;0.990025
38.7258;0.989893
39.0841;0.989761
39.4457;0.989629
39.8107;0.989496
40.1791;0.989362
40.5509;0.989228
40.9261;0.989093
41.3048;0.988958
41.6869;0.988822
42.0727;0.988685
42.462;0.988548
42.8549;0.98841
43.2514;0.988271
43.6516;0.988132
44.0555;0.987991
44.4631;0.98785
44.8745;0.987708
45.2898;0.987564
45.7088;0.98742
46.1318;0.987275
46.5586;0.987129
46.9894;0.986982
47.4242;0.986834
47.863;0.986685
48.3059;0.986534
48.7528;0.986383
49.204;0.98623
49.6592;0.986076
50.1187;0.985922
50.5825;0.985765
51.0505;0.985608
51.5229;0.985449
51.9996;0.98529
