p2;M
0.001;0.539847
0.00101859;0.540115
0.00103753;0.540381
0.00105682;0.540645
0.00107647;0.540905
0.00109648;0.541164
0.00111686;0.54142
0.00113763;0.541674
0.00115878;0.541925
0.00118032;0.542174
0.00120226;0.54242
0.00122462;0.542664
0.00124738;0.542906
0.00127057;0.543145
0.0012942;0.543382
0.00131826;0.543617
0.00134276;0.543849
0.00136773;0.544079
0.00139316;0.544306
0.00141906;0.544532
0.00144544;0.544755
0.00147231;0.544976
0.00149968;0.545194
0.00152757;0.54541
0.00155597;0.545624
0.00158489;0.545836
0.00161436;0.546046
0.00164437;0.546253
0.00167494;0.546458
0.00170608;0.546661
0.0017378;0.546861
0.00177011;0.54706
0.00180302;0.547256
0.00183654;0.54745
0.00187068;0.547642
0.00190546;0.547832
0.00194089;0.548019
0.00197697;0.548205
0.00201372;0.548388
0.00205116;0.548569
0.0020893;0.548748
0.00212814;0.548925
0.0021677;0.549099
0.002208;0.549272
0.00224905;0.549442
0.00229087;0.549611
0.00233346;0.549777
0.00237684;0.549941
0.00242103;0.550103
0.00246604;0.550263
0.00251189;0.550421
0.00255859;0.550577
0.00260615;0.55073
0.00265461;0.550882
0.00270396;0.551031
0.00275423;0.551179
0.00280543;0.551324
0.00285759;0.551467
0.00291072;0.551608
0.00296483;0.551747
0.00301995;0.551884
0.0030761;0.552019
0.00313329;0.552152
0.00319154;0.552283
0.00325087;0.552412
0.00331131;0.552538
0.00337287;0.552663
0.00343558;0.552785
0.00349945;0.552906
0.00356451;0.553024
0.00363078;0.55314
0.00369828;0.553254
0.00376704;0.553366
0.00383707;0.553476
0.00390841;0.553584
0.00398107;0.55369
0.00405509;0.553793
0.00413048;0.553895
0.00420727;0.553994
0.00428549;0.554092
0.00436516;0.554187
0.00444631;0.55428
0.00452898;0.554371
0.00461318;0.55446
0.00469894;0.554546
0.0047863;0.554631
0.00487528;0.554713
0.00496592;0.554793
0.00505825;0.554871
0.00515229;0.554947
0.00524807;0.55502
0.00534564;0.555092
0.00544503;0.555161
0.00554626;0.555228
0.00564937;0.555293
0.0057544;0.555355
0.00586138;0.555415
0.00597035;0.555473
0.00608135;0.555529
0.00619441;0.555582
0.00630957;0.555633
0.00642688;0.555682
0.00654636;0.555728
0.00666807;0.555772
0.00679204;0.555813
0.00691831;0.555853
0.00704693;0.555889
0.00717794;0.555924
0.00731139;0.555956
0.00744732;0.555985
0.00758578;0.556012
0.00772681;0.556036
0.00787046;0.556058
0.00801678;0.556078
0.00816582;0.556095
0.00831764;0.556109
0.00847227;0.556121
0.00862979;0.55613
0.00879023;0.556136
0.00895365;0.55614
0.00912011;0.556141
0.00928966;0.556139
0.00946237;0.556135
0.00963829;0.556128
0.00981748;0.556118
0.01;0.556105
0.0101859;0.556089
0.0103753;0.55607
0.0105682;0.556049
0.0107647;0.556024
0.0109648;0.555997
0.0111686;0.555967
0.0113763;0.555933
0.0115878;0.555897
0.0118032;0.555857
0.0120226;0.555814
0.0122462;0.555768
0.0124738;0.555719
0.0127057;0.555667
0.012942;0.555611
0.0131826;0.555552
0.0134276;0.55549
0.0136773;0.555424
0.0139316;0.555354
0.0141906;0.555282
0.0144544;0.555205
0.0147231;0.555126
0.0149968;0.555042
0.0152757;0.554955
0.0155597;0.554864
0.0158489;0.554769
0.0161436;0.554671
0.0164437;0.554569
0.0167494;0.554462
0.0170608;0.554352
0.017378;0.554238
0.0177011;0.55412
0.0180302;0.553997
0.0183654;0.553871
0.0187068;0.55374
0.0190546;0.553605
0.0194089;0.553465
0.0197697;0.553321
0.0201372;0.553173
