p2;M
0.001;0.709137
0.00101859;0.709465
0.00103753;0.70979
0.00105682;0.710112
0.00107647;0.710431
0.00109648;0.710747
0.00111686;0.711061
0.00113763;0.711371
0.00115878;0.711679
0.00118032;0.711984
0.00120226;0.712286
0.00122462;0.712585
0.00124738;0.712882
0.00127057;0.713176
0.0012942;0.713467
0.00131826;0.713755
0.00134276;0.714041
0.00136773;0.714324
0.00139316;0.714604
0.00141906;0.714882
0.00144544;0.715157
0.00147231;0.715429
0.00149968;0.715699
0.00152757;0.715966
0.00155597;0.716231
0.00158489;0.716493
0.00161436;0.716752
0.00164437;0.717009
0.00167494;0.717263
0.00170608;0.717515
0.0017378;0.717764
0.00177011;0.718011
0.00180302;0.718256
0.00183654;0.718497
0.00187068;0.718737
0.00190546;0.718974
0.00194089;0.719208
0.00197697;0.71944
0.00201372;0.71967
0.00205116;0.719897
0.0020893;0.720122
0.00212814;0.720345
0.0021677;0.720565
0.002208;0.720782
0.00224905;0.720998
0.00229087;0.721211
0.00233346;0.721422
0.00237684;0.72163
0.00242103;0.721836
0.00246604;0.72204
0.00251189;0.722241
0.00255859;0.72244
0.00260615;0.722637
0.00265461;0.722832
0.00270396;0.723024
0.00275423;0.723214
0.00280543;0.723402
0.00285759;0.723588
0.00291072;0.723771
0.00296483;0.723952
0.00301995;0.724131
0.0030761;0.724307
0.00313329;0.724482
0.00319154;0.724654
0.00325087;0.724824
0.00331131;0.724992
0.00337287;0.725157
0.00343558;0.725321
0.00349945;0.725482
0.00356451;0.725641
0.00363078;0.725798
0.00369828;0.725952
0.00376704;0.726105
0.00383707;0.726255
0.00390841;0.726403
0.00398107;0.726549
0.00405509;0.726693
0.00413048;0.726835
0.00420727;0.726974
0.00428549;0.727112
0.00436516;0.727247
0.00444631;0.72738
0.00452898;0.72751
0.00461318;0.727639
0.00469894;0.727766
0.0047863;0.72789
0.00487528;0.728012
0.00496592;0.728132
0.00505825;0.72825
0.00515229;0.728365
0.00524807;0.728479
0.00534564;0.72859
0.00544503;0.728699
0.00554626;0.728806
0.00564937;0.728911
0.0057544;0.729013
0.00586138;0.729114
0.00597035;0.729212
0.00608135;0.729308
0.00619441;0.729401
0.00630957;0.729493
0.00642688;0.729582
0.00654636;0.729669
0.00666807;0.729754
0.00679204;0.729836
0.00691831;0.729917
0.00704693;0.729995
0.00717794;0.73007
0.00731139;0.730144
0.00744732;0.730215
0.00758578;0.730284
0.00772681;0.73035
0.00787046;0.730414
0.00801678;0.730476
0.00816582;0.730536
0.00831764;0.730593
0.00847227;0.730648
0.00862979;0.7307
0.00879023;0.73075
0.00895365;0.730797
0.00912011;0.730842
0.00928966;0.730885
0.00946237;0.730925
0.00963829;0.730963
0.00981748;0.730998
0.01;0.731031
0.0101859;0.731061
0.0103753;0.731088
0.0105682;0.731113
0.0107647;0.731136
0.0109648;0.731155
0.0111686;0.731172
0.0113763;0.731187
0.0115878;0.731198
0.0118032;0.731208
0.0120226;0.731214
0.0122462;0.731217
0.0124738;0.731218
0.0127057;0.731216
0.012942;0.731211
0.0131826;0.731203
0.0134276;0.731193
0.0136773;0.731179
0.0139316;0.731163
0.0141906;0.731143
0.0144544;0.731121
0.0147231;0.731095
0.0149968;0.731067
0.0152757;0.731035
0.0155597;0.731
0.0158489;0.730962
0.0161436;0.730921
0.0164437;0.730876
0.0167494;0.730829
0.0170608;0.730778
0.017378;0.730723
0.0177011;0.730665
0.0180302;0.730604
0.0183654;0.730539
0.0187068;0.730471
0.0190546;0.730399
0.0194089;0.730324
0.0197697;0.730245
0.0201372;0.730162
0.0205116;0.730076
0.020893;0.729985
0.0212814;0.729891
0.021677;0.729793
0.02208;0.729691
0.0224905;0.729585
0.0229087;0.729475
0.0233346;0.729361
0.0237684;0.729243
0.0242103;0.729121
0.0246604;0.728994
0.0251189;0.728863
0.0255859;0.728727
0.0260615;0.728587
0.0265461;0.728443
0.0270396;0.728294
0.0275423;0.728141
0.0280543;0.727982
0.0285759;0.727819
0.0291072;0.727651
0.0296483;0.727478
0.0301995;0.727301
0.030761;0.727118
0.0313329;0.72693
0.0319154;0.726737
0.0325087;0.726538
0.0331131;0.726335
0.0337287;0.726125
0.0343558;0.725911
0.0349945;0.72569
0.0356451;0.725465
0.0363078;0.725233
0.0369828;0.724995
0.0376704;0.724752
0.0383707;0.724502
0.0390841;0.724247
0.0398107;0.723985
0.0405509;0.723717
0.0413048;0.723443
0.0420727;0.723162
0.0428549;0.722875
0.0436516;0.722581
0.0444631;0.72228
0.0452898;0.721972
0.0461318;0.721658
0.0469894;0.721336
0.047863;0.721007
0.0487528;0.720671
0.0496592;0.720328
0.0505825;0.719977
0.0515229;0.719618
0.0524807;0.719252
0.0534564;0.718878
0.0544503;0.718495
0.0554626;0.718105
0.0564937;0.717707
0.057544;0.7173
0.0586138;0.716884
0.0597035;0.716461
0.0608135;0.716028
0.0619441;0.715586
0.0630957;0.715136
0.0642688;0.714676
0.0654636;0.714207
0.0666807;0.713728
0.0679204;0.71324
0.0691831;0.712742
0.0704693;0.712235
0.0717794;0.711717
0.0731139;0.711189
0.0744732;0.710651
0.0758578;0.710102
0.0772681;0.709542
0.0787046;0.708972
0.0801678;0.70839
0.0816582;0.707798
0.0831764;0.707193
0.0847227;0.706578
0.0862979;0.705951
0.0879023;0.705311
0.0895365;0.70466
0.0912011;0.703997
0.0928966;0.703321
0.0946237;0.702632
0.0963829;0.70193
0.0981748;0.701216
0.1;0.700488
0.101859;0.699747
0.103753;0.698992
0.105682;0.698223
0.107647;0.69744
0.109648;0.696643
0.111686;0.695832
0.113763;0.695006
0.115878;0.694164
0.118032;0.693308
0.120226;0.692437
0.122462;0.691549
0.124738;0.690646
0.127057;0.689727
0.12942;0.688792
0.131826;0.68784
0.134276;0.686872
0.136773;0.685886
0.139316;0.684883
0.141906;0.683863
0.144544;0.682825
0.147231;0.681769
0.149968;0.680695
0.152757;0.679602
0.155597;0.678491
0.158489;0.67736
0.161436;0.676211
0.164437;0.675041
0.167494;0.673852
0.170608;0.672643
0.17378;0.671414
0.177011;0.670164
0.180302;0.668893
0.183654;0.667601
0.187068;0.666288
0.190546;0.664953
0.194089;0.663596
0.197697;0.662217
0.201372;0.660815
0.205116;0.659391
0.20893;0.657944
0.212814;0.656474
0.21677;0.65498
0.2208;0.653463
0.224905;0.651922
0.229087;0.650357
0.233346;0.648768
0.237684;0.647154
0.242103;0.645515
