p2;A
0.001;1.54342
0.00101859;1.54263
0.00103753;1.54184
0.00105682;1.54106
0.00107647;1.54028
0.00109648;1.53952
0.00111686;1.53876
0.00113763;1.53801
0.00115878;1.53726
0.00118032;1.53652
0.00120226;1.53579
0.00122462;1.53507
0.00124738;1.53435
0.00127057;1.53364
0.0012942;1.53294
0.00131826;1.53224
0.00134276;1.53155
0.00136773;1.53086
0.00139316;1.53018
0.00141906;1.52951
0.00144544;1.52884
0.00147231;1.52818
0.00149968;1.52753
0.00152757;1.52688
0.00155597;1.52624
0.00158489;1.52561
0.00161436;1.52498
0.00164437;1.52435
0.00167494;1.52373
0.00170608;1.52312
0.0017378;1.52251
0.00177011;1.52191
0.00180302;1.52132
0.00183654;1.52073
0.00187068;1.52014
0.00190546;1.51957
0.00194089;1.51899
0.00197697;1.51842
0.00201372;1.51786
0.00205116;1.5173
0.0020893;1.51675
0.00212814;1.51621
0.0021677;1.51566
0.002208;1.51513
0.00224905;1.5146
0.00229087;1.51407
0.00233346;1.51355
0.00237684;1.51303
0.00242103;1.51252
0.00246604;1.51201
0.00251189;1.51151
0.00255859;1.51101
0.00260615;1.51052
0.00265461;1.51003
0.00270396;1.50955
0.00275423;1.50907
0.00280543;1.50859
0.00285759;1.50812
0.00291072;1.50766
0.00296483;1.5072
0.00301995;1.50674
0.0030761;1.50629
0.00313329;1.50584
0.00319154;1.5054
0.00325087;1.50496
0.00331131;1.50452
0.00337287;1.50409
0.00343558;1.50366
0.00349945;1.50324
0.00356451;1.50282
0.00363078;1.50241
0.00369828;1.502
0.00376704;1.50159
0.00383707;1.50119
0.00390841;1.50079
0.00398107;1.50039
0.00405509;1.5
0.00413048;1.49961
0.00420727;1.49923
0.00428549;1.49885
0.00436516;1.49847
0.00444631;1.4981
0.00452898;1.49773
0.00461318;1.49737
0.00469894;1.49701
0.0047863;1.49665
0.00487528;1.49629
0.00496592;1.49594
0.00505825;1.49559
0.00515229;1.49525
0.00524807;1.49491
0.00534564;1.49457
0.00544503;1.49424
0.00554626;1.49391
0.00564937;1.49358
0.0057544;1.49325
0.00586138;1.49293
0.00597035;1.49262
0.00608135;1.4923
0.00619441;1.49199
0.00630957;1.49168
0.00642688;1.49138
0.00654636;1.49107
0.00666807;1.49078
0.00679204;1.49048
0.00691831;1.49019
0.00704693;1.4899
0.00717794;1.48961
0.00731139;1.48933
0.00744732;1.48905
0.00758578;1.48877
0.00772681;1.48849
0.00787046;1.48822
0.00801678;1.48795
0.00816582;1.48768
0.00831764;1.48742
0.00847227;1.48716
0.00862979;1.4869
0.00879023;1.48665
0.00895365;1.48639
0.00912011;1.48614
0.00928966;1.4859
0.00946237;1.48565
0.00963829;1.48541
0.00981748;1.48517
0.01;1.48493
0.0101859;1.4847
0.0103753;1.48447
0.0105682;1.48424
0.0107647;1.48401
0.0109648;1.48379
0.0111686;1.48357
0.0113763;1.48335
0.0115878;1.48313
0.0118032;1.48292
0.0120226;1.48271
0.0122462;1.4825
0.0124738;1.48229
0.0127057;1.48209
0.012942;1.48189
0.0131826;1.48169
0.0134276;1.48149
0.0136773;1.4813
0.0139316;1.48111
0.0141906;1.48092
0.0144544;1.48073
0.0147231;1.48054
0.0149968;1.48036
0.0152757;1.48018
0.0155597;1.48
0.0158489;1.47983
0.0161436;1.47965
0.0164437;1.47948
0.0167494;1.47931
0.0170608;1.47915
0.017378;1.47898
0.0177011;1.47882
0.0180302;1.47866
0.0183654;1.4785
0.0187068;1.47834
0.0190546;1.47819
0.0194089;1.47804
0.0197697;1.47789
0.0201372;1.47774
0.0205116;1.47759
0.020893;1.47745
0.0212814;1.47731
0.021677;1.47717
0.02208;1.47703
0.0224905;1.4769
0.0229087;1.47676
0.0233346;1.47663
0.0237684;1.4765
0.0242103;1.47638
0.0246604;1.47625
0.0251189;1.47613
0.0255859;1.47601
0.0260615;1.47589
0.0265461;1.47577
0.0270396;1.47565
0.0275423;1.47554
0.0280543;1.47543
0.0285759;1.47532
0.0291072;1.47521
0.0296483;1.47511
0.0301995;1.475
0.030761;1.4749
0.0313329;1.4748
0.0319154;1.4747
0.0325087;1.47461
0.0331131;1.47451
0.0337287;1.47442
0.0343558;1.47433
0.0349945;1.47424
0.0356451;1.47416
0.0363078;1.47407
0.0369828;1.47399
0.0376704;1.47391
0.0383707;1.47383
0.0390841;1.47375
0.0398107;1.47367
0.0405509;1.4736
0.0413048;1.47353
0.0420727;1.47346
0.0428549;1.47339
0.0436516;1.47332
0.0444631;1.47325
0.0452898;1.47319
0.0461318;1.47312
0.0469894;1.47306
0.047863;1.473
0.0487528;1.47294
0.0496592;1.47288
0.0505825;1.47283
0.0515229;1.47277
0.0524807;1.47272
0.0534564;1.47267
0.0544503;1.47262
0.0554626;1.47257
0.0564937;1.47252
0.057544;1.47248
0.0586138;1.47243
0.0597035;1.47239
0.0608135;1.47234
0.0619441;1.4723
0.0630957;1.47226
0.0642688;1.47222
0.0654636;1.47218
0.0666807;1.47215
0.0679204;1.47211
0.0691831;1.47207
0.0704693;1.47204
0.0717794;1.47201
0.0731139;1.47197
0.0744732;1.47194
0.0758578;1.47191
0.0772681;1.47188
0.0787046;1.47185
0.0801678;1.47183
0.0816582;1.4718
0.0831764;1.47177
0.0847227;1.47174
0.0862979;1.47172
0.0879023;1.47169
0.0895365;1.47167
0.0912011;1.47164
0.0928966;1.47162
0.0946237;1.4716
0.0963829;1.47157
0.0981748;1.47155
0.1;1.47153
0.101859;1.4715
0.103753;1.47148
0.105682;1.47146
0.107647;1.47144
0.109648;1.47141
0.111686;1.47139
0.113763;1.47136
0.115878;1.47134
0.118032;1.47132
0.120226;1.47129
0.122462;1.47126
0.124738;1.47124
0.127057;1.47121
0.12942;1.47118
0.131826;1.47115
0.134276;1.47112
0.136773;1.47109
0.139316;1.47106
0.141906;1.47102
0.144544;1.47099
0.147231;1.47095
0.149968;1.47091
0.152757;1.47087
0.155597;1.47082
0.158489;1.47078
0.161436;1.47073
0.164437;1.47068
0.167494;1.47062
0.170608;1.47057
0.17378;1.47051
0.177011;1.47045
0.180302;1.47038
0.183654;1.47031
0.187068;1.47024
0.190546;1.47016
0.194089;1.47008
0.197697;1.46999
0.201372;1.4699
0.205116;1.4698
0.20893;1.4697
0.212814;1.46959
0.21677;1.46948
0.2208;1.46936
0.224905;1.46923
0.229087;1.4691
0.233346;1.46895
