p2;A
0.233346;1.46268
0.237684;1.46204
0.242103;1.4614
0.246604;1.46075
0.251189;1.46009
0.255859;1.45941
0.260615;1.45873
0.265461;1.45803
0.270396;1.45733
0.275423;1.45661
0.280543;1.45588
0.285759;1.45514
0.291072;1.45439
0.296483;1.45362
0.301995;1.45284
0.30761;1.45206
0.313329;1.45125
0.319154;1.45044
0.325087;1.44961
0.331131;1.44877
0.337287;1.44792
0.343558;1.44705
0.349945;1.44617
0.356451;1.44527
0.363078;1.44436
0.369828;1.44344
0.376704;1.4425
0.383707;1.44155
0.390841;1.44058
0.398107;1.4396
0.405509;1.43861
0.413048;1.43759
0.420727;1.43657
0.428549;1.43552
0.436516;1.43447
0.444631;1.43339
0.452898;1.4323
0.461318;1.4312
0.469894;1.43007
0.47863;1.42893
0.487528;1.42778
0.496592;1.4266
0.505825;1.42541
0.515229;1.4242
0.524807;1.42297
0.534564;1.42172
0.544503;1.42045
0.554626;1.41916
0.564937;1.41785
0.57544;1.41652
0.586138;1.41517
0.597035;1.41379
0.608135;1.4124
0.619441;1.41098
0.630957;1.40954
0.642688;1.40808
0.654636;1.40659
0.666807;1.40508
0.679204;1.40355
0.691831;1.40199
0.704693;1.40041
0.717794;1.39881
0.731139;1.39718
0.744732;1.39553
0.758578;1.39385
0.772681;1.39215
0.787046;1.39042
0.801678;1.38867
0.816582;1.38689
0.831764;1.38509
0.847227;1.38327
0.862979;1.38142
0.879023;1.37955
0.895365;1.37765
0.912011;1.37572
0.928966;1.37377
0.946237;1.37179
0.963829;1.36979
0.981748;1.36775
1;1.36569
1.01859;1.36361
1.03753;1.36149
1.05682;1.35935
1.07647;1.35717
1.09648;1.35497
1.11686;1.35274
1.13763;1.35049
1.15878;1.3482
1.18032;1.34589
1.20226;1.34355
1.22462;1.34118
1.24738;1.33878
1.27057;1.33636
1.2942;1.33391
1.31826;1.33144
1.34276;1.32894
1.36773;1.32642
1.39316;1.32387
1.41906;1.3213
1.44544;1.3187
1.47231;1.31608
1.49968;1.31344
1.52757;1.31078
1.55597;1.30809
1.58489;1.30537
1.61436;1.30264
1.64437;1.29988
1.67494;1.2971
1.70608;1.2943
1.7378;1.29148
1.77011;1.28864
1.80302;1.28578
1.83654;1.2829
1.87068;1.28
1.90546;1.27709
1.94089;1.27417
1.97697;1.27123
2.01372;1.26828
2.05116;1.26532
2.0893;1.26234
2.12814;1.25936
2.1677;1.25637
2.208;1.25337
2.24905;1.25036
2.29087;1.24734
2.33346;1.24432
2.37684;1.24129
2.42103;1.23825
2.46604;1.23521
2.51189;1.23217
2.55859;1.22913
2.60615;1.22608
2.65461;1.22304
2.70396;1.21999
2.75423;1.21696
2.80543;1.21392
2.85759;1.2109
2.91072;1.20787
2.96483;1.20486
3.01995;1.20185
3.0761;1.19886
3.13329;1.19587
3.19154;1.19288
3.25087;1.18991
3.31131;1.18695
3.37287;1.184
3.43558;1.18106
3.49945;1.17814
3.56451;1.17523
3.63078;1.17234
3.69828;1.16947
3.76704;1.16661
3.83707;1.16377
3.90841;1.16095
3.98107;1.15815
4.05509;1.15536
4.13048;1.1526
4.20727;1.14985
4.28549;1.14712
4.36516;1.14441
4.44631;1.14173
4.52898;1.13906
4.61318;1.13642
4.69894;1.1338
4.7863;1.1312
4.87528;1.12863
4.96592;1.12608
5.05825;1.12355
5.15229;1.12104
5.24807;1.11856
5.34564;1.1161
5.44503;1.11366
5.54626;1.11125
5.64937;1.10886
5.7544;1.10649
5.86138;1.10415
5.97035;1.10184
6.08135;1.09954
6.19441;1.09728
6.30957;1.09503
6.42688;1.09281
6.54636;1.09061
6.66807;1.08844
6.79204;1.08629
6.91831;1.08416
7.04693;1.08206
7.17794;1.07998
7.31139;1.07793
7.44732;1.0759
7.58578;1.07389
7.72681;1.0719
7.87046;1.06994
8.01678;1.068
8.16582;1.06608
8.31764;1.06419
8.47227;1.06232
8.62979;1.06047
8.79023;1.05865
8.95365;1.05684
9.12011;1.05506
9.28966;1.0533
9.46237;1.05156
9.63829;1.04984
9.81748;1.04815
10.0925;1.04564
10.1859;1.04482
10.2802;1.044
10.3753;1.04319
10.4713;1.04238
10.5682;1.04158
10.666;1.04078
10.7647;1.03999
10.8643;1.0392
10.9648;1.03841
11.0662;1.03764
11.1686;1.03686
11.272;1.0361
11.3763;1.03533
11.4815;1.03457
11.5878;1.03382
11.695;1.03307
11.8032;1.03233
11.9124;1.03159
12.0226;1.03086
12.1339;1.03013
12.2462;1.0294
12.3595;1.02869
12.4738;1.02797
12.5893;1.02726
12.7057;1.02656
12.8233;1.02585
12.942;1.02516
13.0617;1.02447
13.1826;1.02378
13.3045;1.0231
13.4276;1.02242
13.5519;1.02175
13.6773;1.02108
13.8038;1.02042
13.9316;1.01976
14.0605;1.0191
14.1906;1.01845
14.3219;1.0178
14.4544;1.01716
14.5881;1.01653
14.7231;1.01589
14.8594;1.01526
14.9968;1.01464
15.1356;1.01402
15.2757;1.0134
15.417;1.01279
15.5597;1.01218
15.7036;1.01158
15.8489;1.01098
15.9956;1.01038
16.1436;1.00979
16.293;1.00921
16.4437;1.00862
16.5959;1.00804
16.7494;1.00747
16.9044;1.0069
17.0608;1.00633
17.2187;1.00577
17.378;1.00521
17.5388;1.00466
17.7011;1.00411
17.8649;1.00356
18.0302;1.00302
18.197;1.00248
18.3654;1.00194
18.5353;1.00141
18.7068;1.00088
18.8799;1.00036
19.0546;0.999838
19.2309;0.999322
19.4089;0.99881
19.5884;0.998301
19.7697;0.997796
19.9526;0.997295
20.1372;0.996798
20.3236;0.996304
20.5116;0.995814
20.7014;0.995328
20.893;0.994845
21.0863;0.994366
21.2814;0.993891
21.4783;0.993419
