p2;A
0.001;1.23352
0.00101859;1.23295
0.00103753;1.23239
0.00105682;1.23182
0.00107647;1.23127
0.00109648;1.23072
0.00111686;1.23017
0.00113763;1.22963
0.00115878;1.22909
0.00118032;1.22856
0.00120226;1.22804
0.00122462;1.22752
0.00124738;1.227
0.00127057;1.22649
0.0012942;1.22598
0.00131826;1.22548
0.00134276;1.22498
0.00136773;1.22449
0.00139316;1.224
0.00141906;1.22351
0.00144544;1.22303
0.00147231;1.22256
0.00149968;1.22209
0.00152757;1.22162
0.00155597;1.22116
0.00158489;1.2207
0.00161436;1.22024
0.00164437;1.21979
0.00167494;1.21935
0.00170608;1.21891
0.0017378;1.21847
0.00177011;1.21803
0.00180302;1.2176
0.00183654;1.21718
0.00187068;1.21676
0.00190546;1.21634
0.00194089;1.21592
0.00197697;1.21551
0.00201372;1.21511
0.00205116;1.2147
0.0020893;1.2143
0.00212814;1.21391
0.0021677;1.21351
0.002208;1.21313
0.00224905;1.21274
0.00229087;1.21236
0.00233346;1.21198
0.00237684;1.21161
0.00242103;1.21124
0.00246604;1.21087
0.00251189;1.2105
0.00255859;1.21014
0.00260615;1.20978
0.00265461;1.20943
0.00270396;1.20908
0.00275423;1.20873
0.00280543;1.20838
0.00285759;1.20804
0.00291072;1.2077
0.00296483;1.20737
0.00301995;1.20704
0.0030761;1.20671
0.00313329;1.20638
0.00319154;1.20606
0.00325087;1.20573
0.00331131;1.20542
0.00337287;1.2051
0.00343558;1.20479
0.00349945;1.20448
0.00356451;1.20417
0.00363078;1.20387
0.00369828;1.20357
0.00376704;1.20327
0.00383707;1.20298
0.00390841;1.20268
0.00398107;1.20239
0.00405509;1.20211
0.00413048;1.20182
0.00420727;1.20154
0.00428549;1.20126
0.00436516;1.20098
0.00444631;1.20071
0.00452898;1.20043
0.00461318;1.20016
0.00469894;1.1999
0.0047863;1.19963
0.00487528;1.19937
0.00496592;1.19911
0.00505825;1.19885
0.00515229;1.19859
0.00524807;1.19834
0.00534564;1.19809
0.00544503;1.19784
0.00554626;1.19759
0.00564937;1.19735
0.0057544;1.19711
0.00586138;1.19687
0.00597035;1.19663
0.00608135;1.19639
0.00619441;1.19616
0.00630957;1.19593
0.00642688;1.1957
0.00654636;1.19547
0.00666807;1.19524
0.00679204;1.19502
0.00691831;1.1948
