p2;M
0.001;4.5139
0.00101859;4.51582
0.00103753;4.51772
0.00105682;4.51961
0.00107647;4.52148
0.00109648;4.52334
0.00111686;4.52518
0.00113763;4.52701
0.00115878;4.52882
0.00118032;4.53061
0.00120226;4.53239
0.00122462;4.53416
0.00124738;4.53591
0.00127057;4.53764
0.0012942;4.53936
0.00131826;4.54107
0.00134276;4.54276
0.00136773;4.54444
0.00139316;4.5461
0.00141906;4.54775
0.00144544;4.54938
0.00147231;4.55101
0.00149968;4.55261
0.00152757;4.55421
0.00155597;4.55579
0.00158489;4.55736
0.00161436;4.55891
0.00164437;4.56045
0.00167494;4.56198
0.00170608;4.56349
0.0017378;4.56499
0.00177011;4.56648
0.00180302;4.56796
0.00183654;4.56942
0.00187068;4.57087
0.00190546;4.57231
0.00194089;4.57374
0.00197697;4.57515
0.00201372;4.57655
0.00205116;4.57794
0.0020893;4.57932
0.00212814;4.58069
0.0021677;4.58204
0.002208;4.58338
0.00224905;4.58471
0.00229087;4.58603
0.00233346;4.58734
0.00237684;4.58864
0.00242103;4.58992
0.00246604;4.5912
0.00251189;4.59246
0.00255859;4.59372
0.00260615;4.59496
0.00265461;4.59619
0.00270396;4.59741
0.00275423;4.59862
0.00280543;4.59982
0.00285759;4.60101
0.00291072;4.60219
0.00296483;4.60335
0.00301995;4.60451
0.0030761;4.60566
0.00313329;4.6068
0.00319154;4.60793
0.00325087;4.60904
0.00331131;4.61015
0.00337287;4.61125
0.00343558;4.61234
0.00349945;4.61342
0.00356451;4.61449
0.00363078;4.61555
0.00369828;4.6166
0.00376704;4.61765
0.00383707;4.61868
0.00390841;4.6197
0.00398107;4.62072
0.00405509;4.62173
0.00413048;4.62272
0.00420727;4.62371
0.00428549;4.62469
0.00436516;4.62566
0.00444631;4.62663
0.00452898;4.62758
0.00461318;4.62853
0.00469894;4.62947
0.0047863;4.6304
0.00487528;4.63132
0.00496592;4.63223
0.00505825;4.63313
0.00515229;4.63403
0.00524807;4.63492
0.00534564;4.6358
0.00544503;4.63668
0.00554626;4.63754
0.00564937;4.6384
0.0057544;4.63925
0.00586138;4.64009
0.00597035;4.64093
0.00608135;4.64176
0.00619441;4.64258
0.00630957;4.64339
0.00642688;4.6442
0.00654636;4.64499
0.00666807;4.64579
0.00679204;4.64657
0.00691831;4.64735
0.00704693;4.64812
0.00717794;4.64888
0.00731139;4.64964
0.00744732;4.65039
0.00758578;4.65113
0.00772681;4.65187
0.00787046;4.6526
0.00801678;4.65332
0.00816582;4.65404
0.00831764;4.65475
0.00847227;4.65546
0.00862979;4.65616
0.00879023;4.65685
0.00895365;4.65753
0.00912011;4.65821
0.00928966;4.65889
0.00946237;4.65955
0.00963829;4.66021
0.00981748;4.66087
0.01;4.66152
0.0101859;4.66216
0.0103753;4.6628
0.0105682;4.66343
0.0107647;4.66406
0.0109648;4.66468
0.0111686;4.66529
0.0113763;4.6659
0.0115878;4.66651
0.0118032;4.6671
0.0120226;4.6677
0.0122462;4.66828
0.0124738;4.66887
0.0127057;4.66944
0.012942;4.67001
0.0131826;4.67058
0.0134276;4.67114
0.0136773;4.6717
0.0139316;4.67225
0.0141906;4.67279
0.0144544;4.67333
0.0147231;4.67387
0.0149968;4.6744
0.0152757;4.67492
0.0155597;4.67545
0.0158489;4.67596
0.0161436;4.67647
0.0164437;4.67698
0.0167494;4.67748
0.0170608;4.67798
0.017378;4.67847
0.0177011;4.67896
