p2_real;p2_imag;M_real;M_imag
0.149622;-1;0.260375;0.367483
0.154807;-1;0.259333;0.365828
0.160172;-1;0.258248;0.364124
0.165723;-1;0.257118;0.362371
0.171466;-1;0.25601;0.360737
0.177408;-1;0.254253;0.358728
0.183556;-1;0.252987;0.356799
0.189918;-1;0.251676;0.354811
0.196499;-1;0.250319;0.352759
0.203309;-1;0.248916;0.350741
0.210355;-1;0.247469;0.348557
0.217645;-1;0.245975;0.346302
0.225188;-1;0.244434;0.343974
0.232992;-1;0.242846;0.341568
0.241066;-1;0.241211;0.339081
0.249421;-1;0.239529;0.336506
0.258065;-1;0.237805;0.333838
0.267008;-1;0.236047;0.331158
0.276261;-1;0.234264;0.328289
0.285835;-1;0.232546;0.325504
0.295741;-1;0.230755;0.322483
0.30599;-1;0.228943;0.319432
0.316595;-1;0.22707;0.316358
0.327567;-1;0.225111;0.313312
0.338919;-1;0.223051;0.31012
0.350664;-1;0.220902;0.306838
0.362817;-1;0.218674;0.303459
0.37539;-1;0.216373;0.299982
0.3884;-1;0.214007;0.296465
0.40186;-1;0.211567;0.292789
0.415787;-1;0.20912;0.289172
0.430196;-1;0.206526;0.285328
0.445105;-1;0.203822;0.281308
0.460531;-1;0.20096;0.277034
0.476491;-1;0.198473;0.271925
0.493004;-1;0.196799;0.268391
0.510089;-1;0.19379;0.264464
0.527767;-1;0.190875;0.26028
0.546057;-1;0.18791;0.255831
0.564981;-1;0.18492;0.251286
0.584561;-1;0.181892;0.246668
0.604819;-1;0.178821;0.242
0.625779;-1;0.175724;0.237321
0.647466;-1;0.172751;0.232864
0.669905;-1;0.171289;0.228231
0.693121;-1;0.166607;0.220859
0.717141;-1;0.162938;0.216377
0.741995;-1;0.1595;0.211586
0.767709;-1;0.156007;0.206595
0.794314;-1;0.152414;0.201527
0.821842;-1;0.148694;0.19635
0.850324;-1;0.144889;0.191055
0.879792;-1;0.141026;0.185531
0.910282;-1;0.137149;0.179859
0.941829;-1;0.13327;0.174114
0.974468;-1;0.128946;0.168292
1.00824;-1;0.124489;0.163376
1.04318;-1;0.121263;0.158569
1.07933;-1;0.118112;0.153033
1.11674;-1;0.114745;0.147364
1.15544;-1;0.111406;0.141788
1.19548;-1;0.107933;0.136199
1.23691;-1;0.104471;0.130668
1.27978;-1;0.101039;0.125199
1.32413;-1;0.0976681;0.119834
1.37002;-1;0.0944171;0.114469
1.4175;-1;0.090999;0.109111
1.46662;-1;0.0876531;0.103988
1.51745;-1;0.0843708;0.0989348
1.57004;-1;0.0811503;0.093953
1.62445;-1;0.0779426;0.0891167
1.68075;-1;0.074946;0.08457
1.73899;-1;0.0717549;0.0800578
1.79926;-1;0.0685896;0.0754993
1.86161;-1;0.0655904;0.0710261
1.92613;-1;0.0627197;0.0667164
1.99288;-1;0.059941;0.0625573
2.06195;-1;0.0570796;0.0587253
2.1334;-1;0.0546585;0.0546776
2.20734;-1;0.05213;0.050998
2.28384;-1;0.0496789;0.047473
2.36298;-1;0.0473062;0.0441023
2.44487;-1;0.0450239;0.0408832
2.5296;-1;0.0428627;0.03782
2.61727;-1;0.0407136;0.0351673
2.70797;-1;0.0385362;0.0323167
2.80182;-1;0.036564;0.0296903
2.89892;-1;0.0346812;0.0272377
2.99938;-1;0.0328827;0.0249438
3.10333;-1;0.0311654;0.0228016
3.21088;-1;0.0295274;0.0208057
3.32215;-1;0.0279657;0.018951
3.43728;-1;0.0264766;0.0172303
3.5564;-1;0.0250601;0.0156347
3.67965;-1;0.0237191;0.014158
3.80718;-1;0.022454;0.0127958
3.93912;-1;0.0212619;0.0115438
4.07563;-1;0.0201389;0.0103973
4.21687;-1;0.0190815;0.00935053
4.36301;-1;0.0180865;0.00839658
4.51422;-1;0.0171488;0.00752879
4.67066;-1;0.016269;0.00675118
4.83253;-1;0.0154534;0.0060415
5.1071;-1;0.0142359;0.00503291
5.21649;-1;0.0138031;0.00469009
5.32822;-1;0.0133884;0.00436961
5.44235;-1;0.0129913;0.00407012
5.55892;-1;0.012612;0.00379037
5.67799;-1;0.0122521;0.00353255
5.79961;-1;0.0118983;0.00329789
5.92384;-1;0.0115593;0.00307064
6.05072;-1;0.0112375;0.00285932
6.18032;-1;0.0109299;0.00266329
6.3127;-1;0.0106355;0.00248134
6.44792;-1;0.0103537;0.00231248
6.58603;-1;0.0100838;0.00215585
6.7271;-1;0.00982541;0.00201081
6.87119;-1;0.00957768;0.00187693
7.01836;-1;0.00933934;0.00175327
7.16869;-1;0.00910997;0.0016381
7.32224;-1;0.00888997;0.00153069
7.47908;-1;0.00867913;0.0014309
7.63928;-1;0.00847691;0.00133839
7.80291;-1;0.00828281;0.00125271
7.97004;-1;0.00809636;0.00117343
8.14076;-1;0.00791707;0.00110015
8.31513;-1;0.00774437;0.00103238
8.49323;-1;0.00757785;0.000969492
8.67515;-1;0.00741732;0.000910925
8.86097;-1;0.00726266;0.000856354
9.05077;-1;0.00711367;0.000805571
9.24463;-1;0.00697004;0.000758372
9.44264;-1;0.00683146;0.000714543
9.6449;-1;0.0066976;0.000673848
9.85149;-1;0.00656816;0.000636
10.0625;-1;0.00644289;0.000600684
10.278;-1;0.00632166;0.000567636
10.4982;-1;0.00620436;0.000536687
10.723;-1;0.00609085;0.000507725
10.9527;-1;0.00598092;0.000480647
11.1873;-1;0.00587438;0.000455337
11.427;-1;0.00577104;0.000431648
11.6717;-1;0.00567074;0.000409414
11.9217;-1;0.00557336;0.00038849
12.1771;-1;0.00547884;0.000368776
12.4379;-1;0.00538707;0.00035021
12.7043;-1;0.00529794;0.000332738
12.9764;-1;0.00521131;0.000316295
13.2544;-1;0.00512708;0.000300798
13.5383;-1;0.00504513;0.000286158
13.8283;-1;0.00496542;0.000272302
14.1245;-1;0.00488787;0.000259184
14.427;-1;0.00481242;0.000246772
14.736;-1;0.00473898;0.000235033
15.0517;-1;0.00466746;0.000223924
15.3741;-1;0.0045978;0.000213391
15.7034;-1;0.00452994;0.00020339
16.0397;-1;0.00446384;0.00019389
16.3833;-1;0.00439944;0.00018487
16.7342;-1;0.00433668;0.000176311
17.0926;-1;0.00427551;0.000168183
17.4587;-1;0.00421587;0.000160454
17.8327;-1;0.00415772;0.000153098
18.2147;-1;0.00410103;0.000146097
18.6048;-1;0.00404576;0.000139436
19.0033;-1;0.00399184;0.0001331
19.4104;-1;0.00393926;0.000127068
19.8261;-1;0.00388796;0.00012132
20.2508;-1;0.00383791;0.000115841
20.6845;-1;0.00378909;0.00011062
21.1276;-1;0.00374145;0.000105646
21.5801;-1;0.00369497;0.000100906
22.0424;-1;0.00364961;9.63845e-05
22.5145;-1;0.00360534;9.2071e-05
22.9968;-1;0.00356214;8.79566e-05
23.4893;-1;0.00351997;8.4033e-05
23.9925;-1;0.00347882;8.02901e-05
24.5064;-1;0.00343864;7.67181e-05
25.0313;-1;0.00339942;7.33088e-05
25.5674;-1;0.00336114;7.00554e-05
26.1151;-1;0.00332376;6.69512e-05
26.6745;-1;0.00328727;6.39888e-05
27.2458;-1;0.00325164;6.11609e-05
27.8294;-1;0.00321685;5.84619e-05
28.4255;-1;0.00318287;5.58865e-05
29.0343;-1;0.00314969;5.3429e-05
29.6562;-1;0.00311729;5.10838e-05
30.2915;-1;0.00308564;4.88459e-05
30.9403;-1;0.00305472;4.6711e-05
31.603;-1;0.00302452;4.46746e-05
32.2799;-1;0.00299501;4.27321e-05
32.9713;-1;0.00296617;4.08793e-05
33.6776;-1;0.00293799;3.91125e-05
34.3989;-1;0.00291044;3.7428e-05
35.1357;-1;0.00288352;3.58219e-05
35.8883;-1;0.00285719;3.42908e-05
36.657;-1;0.00283144;3.28313e-05
37.4422;-1;0.00280625;3.14404e-05
38.2442;-1;0.00278161;3.01147e-05
39.0634;-1;0.0027575;2.88512e-05
39.9001;-1;0.00273391;2.76472e-05
40.7547;-1;0.00271081;2.64998e-05
41.6277;-1;0.00268818;2.54063e-05
42.5193;-1;0.00266603;2.4364e-05
43.43;-1;0.00264432;2.33705e-05
44.3603;-1;0.00262305;2.24233e-05
45.3105;-1;0.0026022;2.15202e-05
46.281;-1;0.00258176;2.06587e-05
47.2723;-1;0.00256171;1.9837e-05
48.2848;-1;0.00254204;1.90527e-05
49.3191;-1;0.00252274;1.8304e-05
50.3755;-1;0.00250381;1.7589e-05
51.4545;-1;0.00248521;1.69058e-05
52.5566;-1;0.00246696;1.62527e-05
53.6823;-1;0.00244903;1.56282e-05
54.8322;-1;0.00243142;1.50306e-05
56.0067;-1;0.00241411;1.44584e-05
