p2_real;p2_imag;A_real;A_imag
0.316595;-1;1.56506;0.159284
0.327567;-1;1.56015;0.160205
0.338919;-1;1.55526;0.16078
0.350664;-1;1.55041;0.161163
0.362817;-1;1.54559;0.161422
0.37539;-1;1.54081;0.16159
0.3884;-1;1.53599;0.161725
0.40186;-1;1.53123;0.161719
0.415787;-1;1.52645;0.162016
0.430196;-1;1.52183;0.161725
0.445105;-1;1.51763;0.161078
0.460531;-1;1.51494;0.160011
0.476491;-1;1.5173;0.164609
0.493004;-1;1.50322;0.171437
0.510089;-1;1.49537;0.168693
0.527767;-1;1.48941;0.167811
0.546057;-1;1.4837;0.167109
0.564981;-1;1.4779;0.166551
0.584561;-1;1.47193;0.165986
0.604819;-1;1.46566;0.165343
0.625779;-1;1.45883;0.164669
0.647466;-1;1.45066;0.164619
0.669905;-1;1.43935;0.171094
0.693121;-1;1.44635;0.169963
0.717141;-1;1.4396;0.167349
0.741995;-1;1.43239;0.165361
0.767709;-1;1.42546;0.163228
0.794314;-1;1.41882;0.160762
0.821842;-1;1.41276;0.157987
0.850324;-1;1.40746;0.155316
0.879792;-1;1.40297;0.15288
0.910282;-1;1.39914;0.150905
0.941829;-1;1.39633;0.149735
0.974468;-1;1.39506;0.145793
1.00824;-1;1.39008;0.136709
1.04318;-1;1.37872;0.132882
1.07933;-1;1.37054;0.132778
1.11674;-1;1.36413;0.132203
1.15544;-1;1.35788;0.131894
1.19548;-1;1.35198;0.130355
1.23691;-1;1.34603;0.128595
1.27978;-1;1.34;0.126714
1.32413;-1;1.33375;0.124947
1.37002;-1;1.32761;0.123917
1.4175;-1;1.32274;0.121407
1.46662;-1;1.3163;0.118684
1.51745;-1;1.30976;0.115975
1.57004;-1;1.30326;0.113136
1.62445;-1;1.29575;0.109817
1.68075;-1;1.28814;0.107381
1.73899;-1;1.28208;0.101986
1.79926;-1;1.27779;0.0976492
1.86161;-1;1.27319;0.0945154
1.92613;-1;1.26804;0.0917615
1.99288;-1;1.26258;0.0890025
2.06195;-1;1.25493;0.0826991
2.1334;-1;1.25167;0.0840917
2.20734;-1;1.2458;0.0814487
2.28384;-1;1.23998;0.0788357
2.36298;-1;1.23422;0.0762557
2.44487;-1;1.22849;0.0739434
2.5296;-1;1.22192;0.0724594
2.61727;-1;1.21299;0.0652798
2.70797;-1;1.21119;0.0626963
2.80182;-1;1.20638;0.0607244
2.89892;-1;1.20122;0.0585753
2.99938;-1;1.19593;0.0564113
3.10333;-1;1.19056;0.0542294
3.21088;-1;1.18516;0.052015
3.32215;-1;1.17978;0.0497251
3.43728;-1;1.17452;0.0473348
3.5564;-1;1.1695;0.0449561
3.67965;-1;1.16461;0.0427433
3.80718;-1;1.15974;0.0407481
3.93912;-1;1.15486;0.0389176
4.07563;-1;1.14999;0.0371769
4.21687;-1;1.14516;0.0354847
4.36301;-1;1.14042;0.0338387
4.51422;-1;1.13596;0.0322135
4.67066;-1;1.13141;0.0300977
4.83253;-1;1.12659;0.0286532
5.1071;-1;1.1193;0.0265509
5.21649;-1;1.11656;0.0257812
5.32822;-1;1.11382;0.0250402
5.44235;-1;1.11109;0.0243423
5.55892;-1;1.1083;0.0237115
5.67799;-1;1.10516;0.0229214
5.79961;-1;1.10272;0.0214606
5.92384;-1;1.10052;0.020814
6.05072;-1;1.09809;0.0202447
6.18032;-1;1.09561;0.0196666
6.3127;-1;1.09313;0.019093
6.44792;-1;1.09065;0.0185295
6.58603;-1;1.08817;0.0179733
6.7271;-1;1.08568;0.0174047
6.87119;-1;1.0832;0.0167785
7.01836;-1;1.08084;0.0160979
7.16869;-1;1.07859;0.0154822
7.32224;-1;1.07638;0.0149639
7.47908;-1;1.07416;0.0144976
7.63928;-1;1.07194;0.0140541
